Model,CV_R2_mean,CV_R2_std,CV_RMSE_mean
Linear Regression,0.9857527066519101,0.0024561765943321807,3.0311553788630645
Ridge (α=1.0),0.9857583237724077,0.0024449113082478393,3.030776825184056
Ridge (α=10.0),0.9846737826451404,0.0025133252137006373,3.1458036739955295
Lasso (α=0.1),0.9849078906984504,0.002746147698800609,3.1194398229825895
Random Forest,0.985725267838129,0.0024341175084368455,3.0342760258304344
Gradient Boosting,0.9857527863362829,0.002456015089993394,3.0311490849716347
SVR (RBF),0.9857394928400405,0.002684316998846573,3.029735514027119
